path,file_type,status,categories_pd,counts_by_category,uz_level,estimated_volume,processing_time_sec
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\01358-10-04-IFBM-2025-Acta-de-inicio-F.pdf,pdf,ok,,,NO_PD,none,0.0237
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\02-06.1-1112.pdf,pdf,ok,,,NO_PD,none,0.01
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\02.03.03 Мат.обеспечение и админ. инф. систем.pdf,pdf,ok,,,NO_PD,none,0.0481
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\02.04.02.pdf,pdf,ok,bank_card; address,bank_card:1; address:1,UZ-2,small,0.067
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\02.04.02_rob.pdf,pdf,ok,,,NO_PD,none,0.1293
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\020302_B_3_06012018.pdf,pdf,ok,,,NO_PD,none,0.0274
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\020303_B_3_18092017.pdf,pdf,ok,,,NO_PD,none,0.0259
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\020402_M_11012018.pdf,pdf,ok,,,NO_PD,none,0.0287
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\03-5-01-005.pdf,pdf,ok,address; special_health; special_religion; special_race_nationality; biometric_keyword; phone; inn,address:4; special_health:42; special_religion:9; special_race_nationality:4; biometric_keyword:1; phone:2; inn:1,UZ-1,medium,7.2896
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\03.04.02.pdf,pdf,ok,fio,fio:2,UZ-4,small,0.1462
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\03.04.03.pdf,pdf,ok,fio,fio:2,UZ-4,small,0.0512
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\03.05.2024%20%20%D0%A0%D0%90%D0%A1_438-%D1%80-1_%205-%D0%BB%D0%B5%D1%82%D0%B8%D0%B5%20%D0%A2%D0%BE%D1%87%D0%BA%D0%B8%20%D0%BA%D0%B8%D0%BF%D0%B5%D0%BD%D0%B8%D1%8F%20%D0%AE%D0%A4%D0%A3.pdf,pdf,ok,,,NO_PD,none,0.0589
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\030302_B_3_31082020.pdf,pdf,ok,special_health,special_health:1,UZ-1,small,0.1057
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\030303_B_3_31082020.pdf,pdf,ok,special_health,special_health:1,UZ-1,small,0.1012
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\030402_M_3_22082020.pdf,pdf,ok,,,NO_PD,none,0.021
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\030403_M_3_22082020.pdf,pdf,ok,,,NO_PD,none,0.0202
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\03863-primera-y-unica-acta-de-aclaracion-de-dudas-de-venta-de-bienes-2025.pdf,pdf,ok,,,NO_PD,none,0.0112
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\03916-Acta-de-presentacion-apertura-fallo-venta-de-muebles.pdf,pdf,ok,,,NO_PD,none,0.0154
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\04.04.01.pdf,pdf,ok,,,NO_PD,none,0.0503
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\040301_B_3_09082017.pdf,pdf,ok,,,NO_PD,none,0.0271
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\040302_B_3_08082017.pdf,pdf,ok,,,NO_PD,none,0.0277
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\040401_M_11012018.pdf,pdf,ok,,,NO_PD,none,0.027
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\040501_C_3_08082017.pdf,pdf,ok,,,NO_PD,none,0.0263
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\050301_B_3_23082020.pdf,pdf,ok,special_health,special_health:1,UZ-1,small,0.1009
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\050302_B_3_23082020.pdf,pdf,ok,special_health,special_health:1,UZ-1,small,0.1203
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\050304_B_3_31082020.pdf,pdf,ok,special_health,special_health:1,UZ-1,small,0.1082
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\050406_M_3_22082020.pdf,pdf,ok,,,NO_PD,none,0.0189
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\06.04.01.pdf,pdf,ok,,,NO_PD,none,0.0815
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\06.04.02.pdf,pdf,ok,,,NO_PD,none,0.1415
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\060301_B_3_23082020.pdf,pdf,ok,,,NO_PD,none,0.0219
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\060302_B_3_23082020.pdf,pdf,ok,special_health,special_health:1,UZ-1,small,0.1135
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\060401_M_3_31082020.pdf,pdf,ok,,,NO_PD,none,0.0209
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\060402_M_3_20082020.pdf,pdf,ok,,,NO_PD,none,0.02
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\06_gorgorova.pdf,pdf,ok,email; bank_card,email:4; bank_card:3,UZ-2,small,0.2101
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\07.04.01.pdf,pdf,ok,,,NO_PD,none,0.0619
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\07.04.02.pdf,pdf,ok,,,NO_PD,none,0.0778
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\07.04.03.pdf,pdf,ok,,,NO_PD,none,0.0511
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\070301_B_3_29062017.pdf,pdf,ok,,,NO_PD,none,0.0328
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\070302_B_3_03072017.pdf,pdf,ok,,,NO_PD,none,0.0198
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\070303_B_3_03072017.pdf,pdf,ok,,,NO_PD,none,0.02
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\070304_B_3_29062017.pdf,pdf,ok,,,NO_PD,none,0.02
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\070401_M_3_03072017.pdf,pdf,ok,,,NO_PD,none,0.0207
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\070402_M_3_03072017.pdf,pdf,ok,,,NO_PD,none,0.0186
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\070403_M_3_30062017.pdf,pdf,ok,,,NO_PD,none,0.0201
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\070404_M_3_30062017.pdf,pdf,ok,,,NO_PD,none,0.0225
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\08112019_licmed.pdf,pdf,ok,,,NO_PD,none,0.03
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\09.03.01_Информатика и вычислительная техника.pdf,pdf,ok,,,NO_PD,none,0.0483
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\09.03.02 Информац.системы и технологии.pdf,pdf,ok,,,NO_PD,none,0.0417
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\09.03.04 Программная инженерия.pdf,pdf,ok,,,NO_PD,none,0.0433
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\09.04.01 Информатика и вычислительная техника.pdf,pdf,ok,,,NO_PD,none,0.041
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\09.04.03 Прикладная информатика.pdf,pdf,ok,,,NO_PD,none,0.1007
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\09.04.04 Программная инженерия.pdf,pdf,ok,,,NO_PD,none,0.0997
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\090301_B_3_12102017.pdf,pdf,ok,,,NO_PD,none,0.0347
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\090302_B_3_17102017.pdf,pdf,ok,,,NO_PD,none,0.076
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\090303_B_3_17102017.pdf,pdf,ok,,,NO_PD,none,0.0196
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\090304_B_3_17102017.pdf,pdf,ok,,,NO_PD,none,0.0199
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\090401_M_3_11102017.pdf,pdf,ok,,,NO_PD,none,0.0219
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\090403_M_3_12102017.pdf,pdf,ok,,,NO_PD,none,0.0377
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\090404_M_3_1102017.pdf,pdf,ok,,,NO_PD,none,0.0206
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\1.1.pdf,pdf,ok,,,NO_PD,none,0.1069
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\1.2.1.pdf,pdf,ok,,,NO_PD,none,0.1068
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\1.2.2.pdf,pdf,ok,,,NO_PD,none,0.167
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\1.2.2_mat_mod.pdf,pdf,ok,,,NO_PD,none,0.5681
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\1.2.2_r.pdf,pdf,ok,,,NO_PD,none,0.0395
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\1.3.7.pdf,pdf,ok,,,NO_PD,none,0.2772
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\1.3.pdf,pdf,ok,fio,fio:2,UZ-4,small,0.4693
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\1.4.pdf,pdf,ok,phone,phone:4,UZ-4,small,1.6327
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\1.5.pdf,pdf,ok,,,NO_PD,none,0.9058
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\1.6.pdf,pdf,ok,,,NO_PD,none,0.1308
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\10.03.01 Информационная безопасность.pdf,pdf,ok,,,NO_PD,none,0.2539
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\10.05.02 Информационная безопасность телекомм.систем.pdf,pdf,ok,,,NO_PD,none,0.2899
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\10.05.03 Информационная безопасность автоматиз.систем.pdf,pdf,ok,,,NO_PD,none,0.1027
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\10.05.05 Безопасность инф. технологий в правоохранительной сфере.pdf,pdf,ok,,,NO_PD,none,0.4738
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\10.pdf,pdf,ok,,,NO_PD,none,0.4426
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\100401_M_3_19022021.pdf,pdf,ok,,,NO_PD,none,0.0714
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\100505_C_3_24122020.pdf,pdf,ok,,,NO_PD,none,0.5122
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\100_asp.docx,docx,ok,,,NO_PD,none,1.6195
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\100_bak.docx,docx,ok,,,NO_PD,none,0.6359
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\100_bak_Urmosh.docx,docx,ok,,,NO_PD,none,1.5517
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\105_order_Spanish_courses.pdf,pdf,ok,email; phone; fio; address; special_race_nationality,email:4; phone:4; fio:6; address:4; special_race_nationality:1,UZ-1,small,0.0803
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\11.03.01_Радиотехника_П210-ОД_ПИШ.pdf,pdf,ok,,,NO_PD,none,0.0303
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\11.03.02_Инфокоммуникационные технологии и системы связи_П210-ОД_ПИШ.pdf,pdf,ok,,,NO_PD,none,0.0545
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\11.03.03_Конструирование и технология электронных средств_П210-ОД_ПИШ.pdf,pdf,ok,,,NO_PD,none,0.0365
